Nm_Ruas,Kd_Inf,Panjang,STA_AWAL,STA_AKHIR,No,Tahun,Date,Penanganan,Kondisi_Kini,Perke_Kini
BANJARSARI WETAN,251,1055,0+600,0+700,251,,,,,
BANJARSARI WETAN,252,1055,0+700,0+800,252,,,,,
BANJARSARI WETAN,253,1055,0+800,0+900,253,,,,,
BANJARSARI WETAN,254,1055,0+900,1+000,254,,,,,
BANJARSARI WETAN,255,1055,1+000,1+055,255,,,,,
BANYUKAMBANG,939,726,0+000,0+100,939,,,,,
BANYUKAMBANG,940,726,0+100,0+200,940,,,,,
BANYUKAMBANG,941,726,0+200,0+300,941,,,,,
BANYUKAMBANG,942,726,0+300,0+400,942,,,,,
BANYUKAMBANG,943,726,0+400,0+500,943,,,,,
BANYUKAMBANG,944,726,0+500,0+600,944,,,,,
BANYUKAMBANG,945,726,0+600,0+700,945,,,,,
BANYUKAMBANG,946,726,0+700,0+725,946,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
BENER,556,1418,0+000,0+100,556,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
BENER,557,1418,0+100,0+200,557,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
BENER,558,1418,0+200,0+300,558,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
BENER,559,1418,0+300,0+400,559,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
BENER,560,1418,0+400,0+500,560,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
BENER,561,1418,0+500,0+600,561,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
BENER,562,1418,0+600,0+700,562,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
BENER,563,1418,0+700,0+800,563,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
BENER,564,1418,0+800,0+900,564,,,,,
BENER,565,1418,0+900,1+000,565,,,,,
BENER,566,1418,1+000,1+100,566,,,,,
BENER,567,1418,1+100,1+200,567,,,,,
BENER,568,1418,1+200,1+300,568,,,,,
BENER,569,1418,1+300,1+400,569,,,,,
BENER,570,1418,1+400,1+418,570,,,,,
BETEK,1362,1773,0+000,0+100,1362,,,,,
BETEK,1363,1773,0+100,0+200,1363,,,,,
BETEK,1364,1773,0+200,0+300,1364,,,,,
BETEK,1365,1773,0+300,0+400,1365,,,,,
BETEK,1366,1773,0+400,0+500,1366,,,,,
BETEK,1367,1773,0+500,0+600,1367,,,,,
BETEK,1368,1773,0+600,0+700,1368,,,,,
BETEK,1369,1773,0+700,0+800,1369,,,,,
BETEK,1370,1773,0+800,0+900,1370,,,,,
BETEK,1371,1773,0+900,1+000,1371,,,,,
BETEK,1372,1773,1+000,1+100,1372,,,,,
BETEK,1373,1773,1+100,1+200,1373,,,,,
BETEK,1374,1773,1+200,1+300,1374,,,,,
BETEK,1375,1773,1+300,1+400,1375,,,,,
BETEK,1376,1773,1+400,1+500,1376,,,,,
BETEK,1377,1773,1+500,1+600,1377,,,,,
BETEK,1378,1773,1+600,1+700,1378,,,,,
BETEK,1379,1773,1+700,1+772,1379,,,,,
BLIMBING,208,516,0+000,0+100,208,,,,,
BLIMBING,209,516,0+100,0+200,209,,,,,
BLIMBING,210,516,0+200,0+300,210,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
BLIMBING,211,516,0+300,0+400,211,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
BLIMBING,212,516,0+400,0+500,212,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
BLIMBING,213,516,0+500,0+515,213,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
BONGSOPOTRO,571,2089,0+000,0+100,571,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
