No,Nm_Ruas,Kd_Inf,Panjang,STA_AWAL,STA_AKHIR,Fungsi,Kondisi,Tipe_Perke,Lebar_STA,Tahun_Reali,tahun,Tgl,Penanganan,Kondisi_Kini,Perke_Kini
219,BANJARSARI KULON,,3026,0+500,0+600,,sedang,aspal,4,,2022,,,,
220,BANJARSARI KULON,,3026,0+600,0+700,,sedang,aspal,4,,2022,,,,
221,BANJARSARI KULON,,3026,0+700,0+800,,sedang,makadam,4,,2022,,,,
222,BANJARSARI KULON,,3026,0+800,0+900,,RR,makadam,4,,2022,,,,
223,BANJARSARI KULON,,3026,0+900,1+000,,RR,makadam,4,,2022,,,,
224,BANJARSARI KULON,,3026,1+000,1+100,,RR,makadam,4,,2022,,,,
225,BANJARSARI KULON,,3026,1+100,1+200,,RR,makadam,4,,2022,,,,
226,BANJARSARI KULON,,3026,1+200,1+300,,RR,lapen,4,,2022,,,,
227,BANJARSARI KULON,,3026,1+300,1+400,,RB,lapen,4,2023,2022,2023-01-11,pemeliharaan rutin,baik,aspal
228,BANJARSARI KULON,,3026,1+400,1+500,,RB,lapen,4,2023,2022,2023-01-11,pemeliharaan rutin,baik,aspal
229,BANJARSARI KULON,,3026,1+500,1+600,,RB,lapen,4,2023,2022,2023-01-11,pemeliharaan rutin,baik,aspal
230,BANJARSARI KULON,,3026,1+600,1+700,,RB,lapen,4,2023,2022,2023-01-11,pemeliharaan rutin,baik,aspal
231,BANJARSARI KULON,,3026,1+700,1+800,,RB,lapen,4,2023,2022,2023-01-11,pemeliharaan rutin,baik,aspal
232,BANJARSARI KULON,,3026,1+800,1+900,,RB,lapen,4,2023,2022,2023-01-11,pemeliharaan rutin,baik,aspal
233,BANJARSARI KULON,,3026,1+900,2+000,,RB,lapen,4,2023,2022,2023-01-11,pemeliharaan rutin,baik,aspal
234,BANJARSARI KULON,,3026,2+000,2+100,,RB,lapen,4,2023,2022,2023-01-11,pemeliharaan rutin,baik,aspal
235,BANJARSARI KULON,,3026,2+100,2+200,,RB,tanah,4,2023,2022,2023-01-11,pemeliharaan rutin,baik,aspal
236,BANJARSARI KULON,,3026,2+200,2+300,,baik,tanah,4,,2022,,,,
237,BANJARSARI KULON,,3026,2+300,2+400,,baik,tanah,4,,2022,,,,
238,BANJARSARI KULON,,3026,2+400,2+500,,baik,tanah,4,,2022,,,,
239,BANJARSARI KULON,,3026,2+500,2+600,,baik,tanah,4,,2022,,,,
240,BANJARSARI KULON,,3026,2+600,2+700,,baik,tanah,4,,2022,,,,
241,BANJARSARI KULON,,3026,2+700,2+800,,baik,beton,4,,2022,,,,
242,BANJARSARI KULON,,3026,2+800,2+900,,baik,beton,4,,2022,,,,
243,BANJARSARI KULON,,3026,2+900,3+000,,baik,beton,4,,2022,,,,
244,BANJARSARI KULON,,3026,3+000,3+026,,baik,beton,4,,2022,,,,
245,BANJARSARI WETAN,,1055,0+000,0+100,,baik,beton,4,,2022,,,,
246,BANJARSARI WETAN,,1055,0+100,0+200,,baik,beton,4,,2022,,,,
247,BANJARSARI WETAN,,1055,0+200,0+300,,baik,beton,4,,2022,,,,
248,BANJARSARI WETAN,,1055,0+300,0+400,,baik,beton,4,,2022,,,,
249,BANJARSARI WETAN,,1055,0+400,0+500,,sedang,beton,4,,2022,,,,
250,BANJARSARI WETAN,,1055,0+500,0+600,,sedang,beton,4,,2022,,,,
251,BANJARSARI WETAN,,1055,0+600,0+700,,sedang,beton,4,,2022,,,,
252,BANJARSARI WETAN,,1055,0+700,0+800,,sedang,beton,4,,2022,,,,
253,BANJARSARI WETAN,,1055,0+800,0+900,,sedang,beton,4,,2022,,,,
254,BANJARSARI WETAN,,1055,0+900,1+000,,sedang,aspal,4,,2022,,,,
255,BANJARSARI WETAN,,1055,1+000,1+055,,sedang,aspal,4,,2022,,,,
939,BANYUKAMBANG,,726,0+000,0+100,,sedang,aspal,4,,2022,,,,
940,BANYUKAMBANG,,726,0+100,0+200,,sedang,aspal,4,,2022,,,,
941,BANYUKAMBANG,,726,0+200,0+300,,RR,aspal,4,,2022,,,,
942,BANYUKAMBANG,,726,0+300,0+400,,RR,aspal,4,,2022,,,,
943,BANYUKAMBANG,,726,0+400,0+500,,RR,aspal,4,,2022,,,,
944,BANYUKAMBANG,,726,0+500,0+600,,RR,aspal,4,,2022,,,,
945,BANYUKAMBANG,,726,0+600,0+700,,RR,aspal,4,,2022,,,,
946,BANYUKAMBANG,,726,0+700,0+725,,RB,makadam,4,2023,2022,2023-01-11,pemeliharaan rutin,baik,aspal
556,BENER,,1418,0+000,0+100,,RB,makadam,4,2023,2022,2023-01-11,pemeliharaan rutin,baik,aspal
557,BENER,,1418,0+100,0+200,,RB,makadam,4,2023,2022,2023-01-11,pemeliharaan rutin,baik,aspal
558,BENER,,1418,0+200,0+300,,RB,makadam,4,2023,2022,2023-01-11,pemeliharaan rutin,baik,aspal
559,BENER,,1418,0+300,0+400,,RB,makadam,4,2023,2022,2023-01-11,pemeliharaan rutin,baik,aspal
560,BENER,,1418,0+400,0+500,,RB,lapen,4,2023,2022,2023-01-11,pemeliharaan rutin,baik,aspal
561,BENER,,1418,0+500,0+600,,RB,lapen,4,2023,2022,2023-01-11,pemeliharaan rutin,baik,aspal
562,BENER,,1418,0+600,0+700,,RB,lapen,4,2023,2022,2023-01-11,pemeliharaan rutin,baik,aspal
563,BENER,,1418,0+700,0+800,,RB,lapen,4,2023,2022,2023-01-11,pemeliharaan rutin,baik,aspal
564,BENER,,1418,0+800,0+900,,baik,lapen,4,,2022,,,,
565,BENER,,1418,0+900,1+000,,baik,lapen,4,,2022,,,,
566,BENER,,1418,1+000,1+100,,baik,lapen,4,,2022,,,,
567,BENER,,1418,1+100,1+200,,baik,lapen,4,,2022,,,,
568,BENER,,1418,1+200,1+300,,baik,lapen,4,,2022,,,,
569,BENER,,1418,1+300,1+400,,baik,tanah,4,,2022,,,,
570,BENER,,1418,1+400,1+418,,baik,tanah,4,,2022,,,,
1362,BETEK,,1773,0+000,0+100,,baik,tanah,4,,2022,,,,
1363,BETEK,,1773,0+100,0+200,,baik,tanah,4,,2022,,,,
1364,BETEK,,1773,0+200,0+300,,baik,tanah,4,,2022,,,,
1365,BETEK,,1773,0+300,0+400,,baik,tanah,4,,2022,,,,
1366,BETEK,,1773,0+400,0+500,,baik,beton,4,,2022,,,,
1367,BETEK,,1773,0+500,0+600,,baik,beton,4,,2022,,,,
1368,BETEK,,1773,0+600,0+700,,sedang,beton,4,,2022,,,,
1369,BETEK,,1773,0+700,0+800,,sedang,beton,4,,2022,,,,
1370,BETEK,,1773,0+800,0+900,,sedang,beton,4,,2022,,,,
1371,BETEK,,1773,0+900,1+000,,sedang,beton,4,,2022,,,,
1372,BETEK,,1773,1+000,1+100,,sedang,beton,4,,2022,,,,
1373,BETEK,,1773,1+100,1+200,,sedang,beton,4,,2022,,,,
