Name;STA_AWAL;STA_AKHIR;NO;Panjang;Kondisi;Tipe_Perke;Lebar_STA
Jl. Gang Masjid;0+000;0+100;271;186,74829802700;RR;aspal;6
Jl. Arimbi 1;0+000;0+100;187;165,91978938100;RB;aspal;6
Jl. Arimbi 2;0+000;0+056;189;56,95132012110;BAIK;aspal;6
Jl. Sadewo;0+000;0+100;463;174,83712768300;sedang;aspal;6
Jl. Gang Sadewo 1;0+100;0+200;275;204,27965605500;RR;aspal;6
Jl. Gang Sadewo 2;0+000;0+076;278;76,73030413160;RB;aspal;6
Jl. Pisang;0+000;0+091;439;91,30306689380;BAIK;aspal;6
GG. Anggrek III;0+100;0+106;2;106,00000000000;sedang;aspal;6
Jalan Anggrek-Mayang Kembar IV;0+100;0+140;4;240,00000000000;RR;aspal;6
Jalan Anthorium;0+000;0+100;6;450,00000000000;RB;aspal;6
Jalan Anthorium;0+100;0+200;7;450,00000000000;BAIK;aspal;6
Jalan Anthorium;0+200;0+300;8;450,00000000000;sedang;aspal;6
Jalan Anthorium;0+400;0+450;9;450,00000000000;RR;aspal;6
Jalan Cempaka;0+000;0+100;11;416,00000000000;RB;aspal;6
Jalan Cempaka;0+100;0+200;12;416,00000000000;BAIK;aspal;6
Jalan Cempaka;0+200;0+300;13;416,00000000000;sedang;aspal;6
Jalan Cempaka;0+400;0+416;14;416,00000000000;RR;aspal;6
Jalan Joharmanik;0+100;0+194;16;194,00000000000;RB;aspal;6
Jalan Kantil;0+000;0+100;18;428,00000000000;BAIK;aspal;6
