No,Nm_Ruas,Kd_Inf,Panjang,STA_AWAL,STA_AKHIR,Fungsi,Kondisi,Tipe_Perke,Lebar_STA,Tahun_Reali,tahun,Tgl,Penanganan,Kondisi_Kini,Perke_Kini
7,"Jl. Klitik-Dimong",001,8,0+500,0+600,,RR,lapen,6,,2022,,,,
8,"Jl. Klitik-Dimong",001,8,0+600,0+700,,RR,lapen,6,,2022,,,,
9,"Jl. Klitik-Dimong",001,8,0+700,0+800,,RR,lapen,6,,2022,,,,
10,"Jl. Klitik-Dimong",001,8,0+800,0+900,,RR,lapen,6,,2022,,,,
11,"Jl. Klitik-Dimong",001,8,0+900,1+000,,RR,lapen,6,,2022,,,,
12,"Jl. Klitik-Dimong",001,8,1+000,1+100,,RR,lapen,6,,2022,,,,
13,"Jl. Klitik-Dimong",001,8,1+100,1+200,,RR,lapen,6,,2022,,,,
14,"Jl. Klitik-Dimong",001,8,1+200,1+300,,RR,lapen,6,,2022,,,,
15,"Jl. Klitik-Dimong",001,8,1+300,1+400,,RR,lapen,6,,2022,,,,
16,"Jl. Klitik-Dimong",001,8,1+400,1+500,,RR,lapen,6,,2022,,,,
17,"Jl. Klitik-Dimong",001,8,1+500,1+600,,RR,lapen,6,,2022,,,,
18,"Jl. Klitik-Dimong",001,8,1+600,1+700,,RR,lapen,6,,2022,,,,
19,"Jl. Klitik-Dimong",001,8,1+700,1+800,,RR,lapen,6,,2022,,,,
20,"Jl. Klitik-Dimong",001,8,1+800,1+900,,RR,lapen,6,,2022,,,,
21,"Jl. Klitik-Dimong",001,8,1+900,2+000,,RR,lapen,6,,2022,,,,
22,"Jl. Klitik-Dimong",001,8,2+000,2+100,,RR,lapen,6,,2022,,,,
23,"Jl. Klitik-Dimong",001,8,2+100,2+200,,RR,lapen,6,,2022,,,,
24,"Jl. Klitik-Dimong",001,8,2+200,2+300,,RR,lapen,6,,2022,,,,
25,"Jl. Klitik-Dimong",001,8,2+300,2+400,,RR,tanah,6,,2022,,,,
26,"Jl. Klitik-Dimong",001,8,2+400,2+500,,RR,tanah,6,,2022,,,,
27,"Jl. Klitik-Dimong",001,8,2+500,2+600,,RR,tanah,6,,2022,,,,
28,"Jl. Klitik-Dimong",001,8,2+600,2+700,,RR,tanah,6,,2022,,,,
29,"Jl. Klitik-Dimong",001,8,2+700,2+800,,RR,tanah,6,,2022,,,,
30,"Jl. Klitik-Dimong",001,8,2+800,2+900,,RR,tanah,6,,2022,,,,
