STA_AWAL;STA_AKHIR;Kondisi;Lebar_STA;Nm_Ruas;Panjang;Tipe_Perke;No
0+300;0+400;RB;3.5;PACINAN;1558;beton;1266
0+400;0+500;sedang;3.5;PACINAN;1558;beton;1267
0+500;0+600;RB;4;PACINAN;1558;makadam;1268
0+600;0+700;RB;4;PACINAN;1558;beton;1269
0+700;0+800;RB;4;PACINAN;1558;makadam;1270
0+800;0+900;RB;4;PACINAN;1558;makadam;1271
0+900;1+000;RB;4;PACINAN;1558;beton;1272
1+000;1+100;sedang;4;PACINAN;1558;beton;1273
1+100;1+200;sedang;4;PACINAN;1558;beton;1274
1+200;1+300;baik;4;PACINAN;1558;beton;1275
1+300;1+400;baik;4;PACINAN;1558;beton;1276
1+400;1+500;baik;4;PACINAN;1558;beton;1277
1+500;1+558;sedang;4;PACINAN;1558;beton;1278
0+000;0+100;RR;2.5;PALUR I;1041;aspal;1
0+100;0+200;RR;2.5;PALUR I;1041;aspal;2
0+200;0+300;RR;2.5;PALUR I;1041;aspal;3
0+300;0+400;RR;2.5;PALUR I;1041;aspal;4
0+400;0+500;RR;3;PALUR I;1041;aspal;5
0+500;0+600;RR;3;PALUR I;1041;aspal;6
0+600;0+700;RR;3;PALUR I;1041;aspal;7
0+700;0+800;RR;3;PALUR I;1041;aspal;8
0+800;0+900;RR;3;PALUR I;1041;aspal;9
0+900;1+000;RR;3;PALUR I;1041;aspal;10
1+000;1+100;RR;3;PALUR I;1041;aspal;11
0+000;0+100;RR;3;PALUR II;1082;aspal;181
0+100;0+200;RR;3;PALUR II;1082;aspal;182
0+200;0+300;RR;3;PALUR II;1082;aspal;183
0+300;0+400;RR;3;PALUR II;1082;aspal;184
0+400;0+500;RR;3;PALUR II;1082;aspal;185
0+500;0+600;RR;3;PALUR II;1082;aspal;186
0+600;0+700;baik;3;PALUR II;1082;aspal;187
0+700;0+800;baik;3;PALUR II;1082;aspal;188
0+800;0+900;baik;3;PALUR II;1082;aspal;189
0+900;1+000;RR;3;PALUR II;1082;aspal;190
1+000;1+081;RR;3;PALUR II;1082;aspal;191
0+000;0+100;RR;2;PALUR III;1139;aspal;351
0+100;0+200;RR;2;PALUR III;1139;aspal;352
0+200;0+300;RR;2;PALUR III;1139;aspal;353
0+300;0+400;RB;2;PALUR III;1139;aspal;354
0+400;0+500;RR;2;PALUR III;1139;aspal;355
0+500;0+600;RR;2;PALUR III;1139;aspal;356
0+600;0+700;RR;3;PALUR III;1139;aspal;357
0+700;0+800;RR;3;PALUR III;1139;aspal;358
0+800;0+900;RR;3;PALUR III;1139;aspal;359
0+900;1+000;RR;3;PALUR III;1139;aspal;360
1+000;1+100;RR;3;PALUR III;1139;aspal;361
1+100;1+138;sedang;3;PALUR III;1139;aspal;362
0+000;0+100;sedang;2.8;PILANGREJO I;1375;aspal;390
0+100;0+200;sedang;2.7;PILANGREJO I;1375;aspal;391
0+200;0+300;sedang;3;PILANGREJO I;1375;aspal;392
0+300;0+400;sedang;3;PILANGREJO I;1375;aspal;393
0+400;0+500;sedang;3;PILANGREJO I;1375;aspal;394
0+500;0+600;sedang;3;PILANGREJO I;1375;aspal;395
0+600;0+700;sedang;3;PILANGREJO I;1375;aspal;396
0+700;0+800;sedang;3;PILANGREJO I;1375;aspal;397
0+800;0+900;sedang;3;PILANGREJO I;1375;aspal;398
0+900;1+000;sedang;3;PILANGREJO I;1375;aspal;399
1+000;1+100;sedang;3;PILANGREJO I;1375;aspal;400
1+100;1+200;sedang;3;PILANGREJO I;1375;aspal;401
1+200;1+300;sedang;3;PILANGREJO I;1375;aspal;402
1+300;1+300;sedang;3;PILANGREJO I;1375;aspal;403
0+000;0+100;sedang;2.5;PILANGREJO II;506;aspal;404
0+100;0+200;sedang;2.5;PILANGREJO II;506;aspal;405
0+200;0+300;sedang;2.5;PILANGREJO II;506;aspal;406
0+300;0+400;sedang;2.5;PILANGREJO II;506;aspal;407
0+400;0+500;sedang;2.5;PILANGREJO II;506;makadam;408
0+500;0+505;sedang;2.5;PILANGREJO II;506;makadam;409
0+000;0+100;sedang;3;PLUMPUNGREJO;625;aspal;968
0+100;0+200;sedang;3;PLUMPUNGREJO;625;aspal;969
0+200;0+300;sedang;3;PLUMPUNGREJO;625;aspal;970
0+300;0+400;sedang;3;PLUMPUNGREJO;625;aspal;971
0+400;0+500;sedang;3;PLUMPUNGREJO;625;aspal;972
0+500;0+600;sedang;3;PLUMPUNGREJO;625;aspal;973
0+600;0+624;sedang;3;PLUMPUNGREJO;625;aspal;974
0+000;0+100;sedang;3;PURWOREJO;1732;aspal;1279
0+100;0+200;sedang;3;PURWOREJO;1732;aspal;1280
0+200;0+300;RR;3;PURWOREJO;1732;aspal;1281
0+300;0+400;RR;3;PURWOREJO;1732;aspal;1282
0+400;0+500;sedang;3;PURWOREJO;1732;aspal;1283
0+500;0+600;sedang;3;PURWOREJO;1732;aspal;1284
0+600;0+700;sedang;3;PURWOREJO;1732;aspal;1285
0+700;0+800;sedang;3;PURWOREJO;1732;aspal;1286
0+800;0+900;sedang;3;PURWOREJO;1732;beton;1287
0+900;1+000;RR;3;PURWOREJO;1732;beton;1288
1+000;1+100;RR;3;PURWOREJO;1732;beton;1289
1+100;1+200;RR;3;PURWOREJO;1732;beton;1290
1+200;1+300;RR;3;PURWOREJO;1732;beton;1291
1+300;1+400;RR;3;PURWOREJO;1732;beton;1292
1+400;1+500;RR;3;PURWOREJO;1732;beton;1293
1+500;1+600;RR;3;PURWOREJO;1732;beton;1294
1+600;1+700;RR;3;PURWOREJO;1732;beton;1295
1+700;1+731;RR;3;PURWOREJO;1732;beton;1296
0+000;0+100;baik;3;REJOSARI;666;aspal;664
0+000;0+100;baik;3;REJOSARI;809;aspal;1435
0+100;0+200;baik;3;REJOSARI;666;aspal;665
0+100;0+200;baik;3;REJOSARI;809;aspal;1436
0+200;0+300;baik;3;REJOSARI;666;aspal;666
0+200;0+300;baik;3;REJOSARI;809;aspal;1437
0+300;0+400;baik;3;REJOSARI;666;aspal;667
0+300;0+400;baik;3;REJOSARI;809;aspal;1438
0+400;0+500;baik;3;REJOSARI;666;aspal;668
0+400;0+500;baik;3;REJOSARI;809;aspal;1439
0+500;0+600;baik;3;REJOSARI;666;aspal;669
0+500;0+600;baik;3;REJOSARI;809;aspal;1440
0+600;0+666;baik;3;REJOSARI;666;aspal;670
0+600;0+700;baik;3;REJOSARI;809;aspal;1441
0+700;0+800;baik;3;REJOSARI;809;aspal;1442
0+800;0+809;baik;3;REJOSARI;809;aspal;1443
0+000;0+100;RR;4.3;SAMBIREJO;708;aspal;57
0+100;0+200;RR;4.3;SAMBIREJO;708;aspal;58
0+200;0+300;RR;4.3;SAMBIREJO;708;aspal;59
0+300;0+400;RR;3.2;SAMBIREJO;708;aspal;60
0+400;0+500;RR;3.2;SAMBIREJO;708;aspal;61
0+500;0+600;RR;3.2;SAMBIREJO;708;aspal;62
0+600;0+700;RR;3.2;SAMBIREJO;708;aspal;63
0+700;0+707;RR;3.2;SAMBIREJO;708;aspal;64
0+000;0+100;RR;3;SEGULUNG;1711;beton;304
0+100;0+200;RR;3;SEGULUNG;1711;beton;305
0+200;0+300;RR;3;SEGULUNG;1711;beton;306
0+300;0+400;RR;3;SEGULUNG;1711;beton;307
0+400;0+500;RR;3;SEGULUNG;1711;beton;308
0+500;0+600;RR;3;SEGULUNG;1711;beton;309
0+600;0+700;RR;3;SEGULUNG;1711;beton;310
0+700;0+800;RB;3;SEGULUNG;1711;beton;311
0+800;0+900;RB;3;SEGULUNG;1711;beton;312
0+900;1+000;RB;3;SEGULUNG;1711;beton;313
1+000;1+100;RB;3;SEGULUNG;1711;beton;314
1+100;1+200;RB;3;SEGULUNG;1711;beton;315
1+200;1+300;RB;3;SEGULUNG;1711;beton;316
1+300;1+400;RB;3;SEGULUNG;1711;beton;317
1+400;1+500;RB;3;SEGULUNG;1711;beton;318
1+500;1+600;RB;3;SEGULUNG;1711;beton;319
1+600;1+700;RB;3;SEGULUNG;1711;beton;320
1+700;1+710;RB;3;SEGULUNG;1711;beton;321
0+000;0+100;RB;3;SENDANGREJO;711;beton;1387
0+100;0+200;RB;3;SENDANGREJO;711;aspal;1388
0+200;0+300;RB;3;SENDANGREJO;711;aspal;1389
0+300;0+400;RR;3;SENDANGREJO;711;aspal;1390
0+400;0+500;baik;3;SENDANGREJO;711;beton;1391
0+500;0+600;RR;3;SENDANGREJO;711;aspal;1392
0+600;0+700;RR;3;SENDANGREJO;711;aspal;1393
0+700;0+711;RR;3;SENDANGREJO;711;aspal;1394
0+000;0+100;baik;3;SIDOMULYO I;427;aspal;1008
0+100;0+200;RR;3;SIDOMULYO I;427;aspal;1009
0+200;0+300;RR;3;SIDOMULYO I;427;aspal;1010
0+300;0+400;RR;3;SIDOMULYO I;427;aspal;1007
0+400;0+426;RR;3;SIDOMULYO I;427;aspal;1011
0+000;0+100;baik;3;SIDOMULYO II;2455;aspal;1012
0+100;0+200;RR;3;SIDOMULYO II;2455;aspal;1013
0+200;0+300;RR;3;SIDOMULYO II;2455;aspal;1014
0+300;0+400;RR;3;SIDOMULYO II;2455;aspal;1015
0+400;0+500;baik;3;SIDOMULYO II;2455;aspal;1016
0+500;0+600;baik;3;SIDOMULYO II;2455;aspal;1017
0+600;0+700;sedang;3;SIDOMULYO II;2455;aspal;1018
0+700;0+800;baik;3;SIDOMULYO II;2455;aspal;1019
0+800;0+900;baik;3;SIDOMULYO II;2455;aspal;1020
0+900;1+000;baik;3;SIDOMULYO II;2455;aspal;1021
1+000;1+100;baik;3;SIDOMULYO II;2455;aspal;1022
1+100;1+200;baik;3;SIDOMULYO II;2455;aspal;1023
1+200;1+300;baik;3;SIDOMULYO II;2455;aspal;1024
1+300;1+400;baik;3;SIDOMULYO II;2455;aspal;1025
1+400;1+500;baik;3;SIDOMULYO II;2455;aspal;1026
1+500;1+600;sedang;3;SIDOMULYO II;2455;aspal;1027
1+600;1+700;baik;3;SIDOMULYO II;2455;aspal;1028
1+700;1+800;RR;3;SIDOMULYO II;2455;aspal;1029
1+800;1+900;sedang;3;SIDOMULYO II;2455;aspal;1030
1+900;2+000;baik;3;SIDOMULYO II;2455;aspal;1031
2+000;2+100;baik;3;SIDOMULYO II;2455;aspal;1032
2+100;2+200;baik;3;SIDOMULYO II;2455;aspal;1033
2+200;2+300;baik;3;SIDOMULYO II;2455;aspal;1034
2+300;2+400;baik;3;SIDOMULYO II;2455;aspal;1035
2+400;2+454;baik;3;SIDOMULYO II;2455;aspal;1036
0+000;0+100;baik;3;SIDOREJO;267;aspal;476
0+100;0+200;baik;3;SIDOREJO;267;aspal;475
0+200;0+200;baik;3;SIDOREJO;267;aspal;477
0+000;0+100;baik;3;SIMO;2512;beton;1297
0+100;0+200;baik;3;SIMO;2512;beton;1298
0+200;0+300;baik;3;SIMO;2512;beton;1299
0+300;0+400;baik;3;SIMO;2512;beton;1300
0+400;0+500;RB;3;SIMO;2512;tanah;1301
0+500;0+600;RB;4.5;SIMO;2512;tanah;1302
0+600;0+700;RB;4.5;SIMO;2512;tanah;1303
0+700;0+800;RB;4.5;SIMO;2512;tanah;1304
0+800;0+900;RB;4.5;SIMO;2512;tanah;1305
0+900;1+000;RB;4.5;SIMO;2512;tanah;1306
1+000;1+100;RB;4.5;SIMO;2512;tanah;1307
1+100;1+200;RB;4.5;SIMO;2512;tanah;1308
1+200;1+300;RB;4.5;SIMO;2512;tanah;1309
1+300;1+400;RB;4;SIMO;2512;tanah;1310
1+400;1+500;RB;4;SIMO;2512;tanah;1311
1+500;1+600;RB;4;SIMO;2512;tanah;1312
1+600;1+700;RB;4;SIMO;2512;tanah;1313
1+700;1+800;RB;4;SIMO;2512;tanah;1314
1+800;1+900;baik;3;SIMO;2512;beton;1315
1+900;2+000;baik;3;SIMO;2512;beton;1316
2+000;2+100;baik;3;SIMO;2512;beton;1317
2+100;2+200;baik;3;SIMO;2512;beton;1318
2+200;2+300;baik;3;SIMO;2512;beton;1319
2+300;2+400;baik;3;SIMO;2512;beton;1320
2+400;2+500;sedang;3;SIMO;2512;beton;1321
2+500;2+512;sedang;3;SIMO;2512;beton;1322
0+000;0+100;RR;4;SIRAPAN;2484;aspal;1395
0+100;0+200;RB;4;SIRAPAN;2484;aspal;1396
0+200;0+300;RR;4;SIRAPAN;2484;aspal;1397
0+300;0+400;RR;4;SIRAPAN;2484;aspal;1398
0+400;0+500;RR;4;SIRAPAN;2484;aspal;1399
0+500;0+600;RR;4;SIRAPAN;2484;aspal;1400
0+600;0+700;RR;4;SIRAPAN;2484;aspal;1401
0+700;0+800;RB;4;SIRAPAN;2484;aspal;1402
0+800;0+900;RR;4;SIRAPAN;2484;aspal;1403
0+900;1+000;RR;4;SIRAPAN;2484;aspal;1404
1+000;1+100;RR;4;SIRAPAN;2484;aspal;1405
1+100;1+200;RR;4;SIRAPAN;2484;aspal;1406
1+200;1+300;RR;4;SIRAPAN;2484;aspal;1407
1+300;1+400;sedang;4;SIRAPAN;2484;aspal;1408
1+400;1+500;sedang;4;SIRAPAN;2484;aspal;1409
1+500;1+600;baik;4;SIRAPAN;2484;aspal;1410
1+600;1+700;baik;4;SIRAPAN;2484;aspal;1411
1+700;1+800;RR;4;SIRAPAN;2484;aspal;1412
1+800;1+900;RR;4;SIRAPAN;2484;aspal;1413
1+900;2+000;RR;4;SIRAPAN;2484;aspal;1414
2+000;2+100;RR;4;SIRAPAN;2484;aspal;1415
2+100;2+200;RR;4;SIRAPAN;2484;aspal;1416
2+200;2+300;RR;4;SIRAPAN;2484;aspal;1417
2+300;2+400;RR;4;SIRAPAN;2484;aspal;1418
2+400;2+483;RR;4;SIRAPAN;2484;aspal;1419
0+000;0+100;sedang;3.5;SOGO;2661;beton;1323
0+100;0+200;sedang;4;SOGO;2661;beton;1324
0+200;0+300;sedang;3;SOGO;2661;beton;1325
0+300;0+400;sedang;3;SOGO;2661;beton;1326
0+400;0+500;sedang;3;SOGO;2661;beton;1327
0+500;0+600;sedang;3;SOGO;2661;beton;1328
0+600;0+700;sedang;3;SOGO;2661;beton;1329
0+700;0+800;sedang;3;SOGO;2661;beton;1330
0+800;0+900;sedang;3;SOGO;2661;beton;1331
0+900;1+000;sedang;3;SOGO;2661;beton;1332
1+000;1+100;sedang;3;SOGO;2661;beton;1333
1+100;1+200;sedang;3;SOGO;2661;beton;1334
1+200;1+300;sedang;3;SOGO;2661;beton;1335
1+300;1+400;RB;3;SOGO;2661;tanah;1336
1+400;1+500;RB;3;SOGO;2661;tanah;1337
1+500;1+600;RB;4;SOGO;2661;tanah;1338
1+600;1+700;RB;4;SOGO;2661;tanah;1339
1+700;1+800;RB;4;SOGO;2661;tanah;1340
1+800;1+900;RB;4;SOGO;2661;tanah;1341
1+900;2+000;RB;4;SOGO;2661;tanah;1342
2+000;2+100;RB;4;SOGO;2661;tanah;1343
2+100;2+200;RB;4;SOGO;2661;tanah;1344
2+200;2+300;RB;4;SOGO;2661;tanah;1345
2+300;2+400;RB;4;SOGO;2661;tanah;1346
2+400;2+500;RB;4;SOGO;2661;tanah;1347
2+500;2+600;RB;4;SOGO;2661;tanah;1348
2+600;2+660;RB;4;SOGO;2661;tanah;1349
0+000;0+100;RR;3;SUGIHWARAS;4346;beton;712
0+100;0+200;RR;3;SUGIHWARAS;4346;beton;713
0+200;0+300;RR;3;SUGIHWARAS;4346;beton;714
0+300;0+400;RR;3;SUGIHWARAS;4346;beton;715
0+400;0+500;RR;3;SUGIHWARAS;4346;beton;716
0+500;0+600;RR;3;SUGIHWARAS;4346;beton;717
0+600;0+700;RR;3;SUGIHWARAS;4346;beton;718
0+700;0+800;RR;3;SUGIHWARAS;4346;beton;719
0+800;0+900;RR;3;SUGIHWARAS;4346;beton;720
0+900;1+000;RR;3;SUGIHWARAS;4346;beton;721
1+000;1+100;RB;5;SUGIHWARAS;4346;makadam;722
1+100;1+200;RB;5;SUGIHWARAS;4346;makadam;723
1+200;1+300;RB;5;SUGIHWARAS;4346;makadam;724
1+300;1+400;RB;5;SUGIHWARAS;4346;makadam;725
1+400;1+500;RB;5;SUGIHWARAS;4346;makadam;726
1+500;1+600;RB;5;SUGIHWARAS;4346;makadam;727
1+600;1+700;RB;5;SUGIHWARAS;4346;makadam;728
1+700;1+800;RB;5;SUGIHWARAS;4346;makadam;729
1+800;1+900;RB;5;SUGIHWARAS;4346;makadam;730
1+900;2+000;RB;5;SUGIHWARAS;4346;makadam;731
2+000;2+100;RB;5;SUGIHWARAS;4346;makadam;732
2+100;2+200;RB;5;SUGIHWARAS;4346;makadam;733
2+200;2+300;RR;3;SUGIHWARAS;4346;beton;734
2+300;2+400;RR;3;SUGIHWARAS;4346;beton;735
2+400;2+500;RR;3;SUGIHWARAS;4346;beton;736
2+500;2+600;RR;3;SUGIHWARAS;4346;beton;737
2+600;2+700;RR;3;SUGIHWARAS;4346;beton;738
2+700;2+800;RR;3;SUGIHWARAS;4346;beton;739
2+800;2+900;RR;2.5;SUGIHWARAS;4346;beton;740
2+900;3+000;RR;2.5;SUGIHWARAS;4346;beton;741
3+000;3+100;RR;2.5;SUGIHWARAS;4346;beton;742
3+100;3+200;RR;2.5;SUGIHWARAS;4346;beton;743
3+200;3+300;RB;2.5;SUGIHWARAS;4346;makadam;744
3+300;3+400;RB;2.5;SUGIHWARAS;4346;makadam;745
3+400;3+500;RR;3;SUGIHWARAS;4346;aspal;746
3+500;3+600;RR;3;SUGIHWARAS;4346;aspal;747
3+600;3+700;RR;3;SUGIHWARAS;4346;aspal;748
3+700;3+800;RR;3;SUGIHWARAS;4346;aspal;749
3+800;3+900;RR;3;SUGIHWARAS;4346;aspal;750
3+900;4+000;RR;3;SUGIHWARAS;4346;aspal;751
4+000;4+100;RR;5;SUGIHWARAS;4346;aspal;752
4+100;4+200;RR;5;SUGIHWARAS;4346;aspal;753
4+200;4+300;RR;5;SUGIHWARAS;4346;aspal;754
4+300;4+345;RR;5;SUGIHWARAS;4346;aspal;755
0+000;0+100;sedang;3;SULUK;824;beton;199
0+100;0+200;sedang;3;SULUK;824;beton;200
0+200;0+300;sedang;3;SULUK;824;beton;201
0+300;0+400;sedang;3;SULUK;824;beton;202
0+400;0+500;sedang;3;SULUK;824;beton;203
0+500;0+600;sedang;3;SULUK;824;beton;204
0+600;0+700;sedang;3;SULUK;824;beton;205
0+700;0+800;sedang;3;SULUK;824;beton;206
0+800;0+824;sedang;3;SULUK;824;beton;207
0+000;0+100;RR;3.7;SUMBERBENDO;1667;aspal;695
0+100;0+200;RR;3.7;SUMBERBENDO;1667;aspal;696
0+200;0+300;RR;3.7;SUMBERBENDO;1667;aspal;697
0+300;0+400;RR;4;SUMBERBENDO;1667;aspal;698
0+400;0+500;RR;3;SUMBERBENDO;1667;aspal;699
0+500;0+600;RR;3;SUMBERBENDO;1667;aspal;700
0+600;0+700;RR;3;SUMBERBENDO;1667;aspal;701
0+700;0+800;RR;3;SUMBERBENDO;1667;aspal;702
0+800;0+900;RR;3;SUMBERBENDO;1667;aspal;703
0+900;1+000;RR;3;SUMBERBENDO;1667;aspal;704
1+000;1+100;RR;3;SUMBERBENDO;1667;aspal;705
1+100;1+200;RR;3;SUMBERBENDO;1667;aspal;706
1+200;1+300;RR;3;SUMBERBENDO;1667;aspal;707
1+300;1+400;RR;3;SUMBERBENDO;1667;aspal;708
1+400;1+500;RR;3;SUMBERBENDO;1667;aspal;709
1+500;1+600;RR;3;SUMBERBENDO;1667;beton;710
1+600;1+667;RR;3;SUMBERBENDO;1667;beton;711
0+000;0+100;RR;3;SUMBERBENING;1127;beton;1350
0+100;0+200;RB;3;SUMBERBENING;1127;beton;1351
0+200;0+300;RB;3;SUMBERBENING;1127;beton;1352
0+300;0+400;RB;3;SUMBERBENING;1127;beton;1353
0+400;0+500;RB;3;SUMBERBENING;1127;beton;1354
0+500;0+600;RR;3;SUMBERBENING;1127;beton;1355
0+600;0+700;RR;3;SUMBERBENING;1127;aspal;1356
0+700;0+800;RB;3;SUMBERBENING;1127;aspal;1357
0+800;0+900;RB;3;SUMBERBENING;1127;aspal;1358
0+900;1+000;baik;3;SUMBERBENING;1127;aspal;1359
1+000;1+100;sedang;3;SUMBERBENING;1127;aspal;1360
1+100;1+126;sedang;3;SUMBERBENING;1127;aspal;1361
0+000;0+100;sedang;3;SUMBEREJO;3140;aspal;975
0+000;0+100;sedang;3;SUMBEREJO;1464;aspal;1420
0+100;0+200;sedang;3;SUMBEREJO;3140;aspal;976
0+100;0+200;sedang;3;SUMBEREJO;1464;aspal;1421
0+200;0+300;sedang;3;SUMBEREJO;3140;aspal;977
0+200;0+300;sedang;3;SUMBEREJO;1464;aspal;1422
0+300;0+400;sedang;3;SUMBEREJO;3140;aspal;978
0+300;0+400;sedang;3;SUMBEREJO;1464;aspal;1423
0+400;0+500;sedang;3;SUMBEREJO;3140;aspal;979
0+400;0+500;sedang;3;SUMBEREJO;1464;aspal;1424
0+500;0+600;sedang;3;SUMBEREJO;3140;aspal;980
0+500;0+600;sedang;3;SUMBEREJO;1464;aspal;1425
0+600;0+700;sedang;3;SUMBEREJO;3140;aspal;981
0+600;0+700;sedang;3;SUMBEREJO;1464;aspal;1426
0+700;0+800;sedang;3;SUMBEREJO;3140;aspal;982
0+700;0+800;sedang;3;SUMBEREJO;1464;aspal;1427
0+800;0+900;sedang;3;SUMBEREJO;3140;aspal;983
0+800;0+900;sedang;3;SUMBEREJO;1464;aspal;1428
0+900;1+000;sedang;3;SUMBEREJO;3140;aspal;984
0+900;1+000;sedang;3;SUMBEREJO;1464;aspal;1429
1+000;1+100;sedang;3;SUMBEREJO;3140;aspal;985
1+000;1+100;sedang;3;SUMBEREJO;1464;aspal;1430
1+100;1+200;sedang;3;SUMBEREJO;3140;aspal;986
1+100;1+200;sedang;3;SUMBEREJO;1464;aspal;1431
1+200;1+300;baik;3;SUMBEREJO;3140;aspal;987
1+200;1+300;baik;3;SUMBEREJO;1464;aspal;1432
1+300;1+400;sedang;3;SUMBEREJO;3140;aspal;988
1+300;1+400;sedang;3;SUMBEREJO;1464;aspal;1433
1+400;1+500;sedang;3;SUMBEREJO;3140;aspal;989
1+400;1+400;RR;3;SUMBEREJO;1464;aspal;1434
1+500;1+600;RR;3;SUMBEREJO;3140;aspal;990
1+600;1+700;RR;3;SUMBEREJO;3140;aspal;991
1+700;1+800;RR;3;SUMBEREJO;3140;aspal;992
1+800;1+900;RR;3;SUMBEREJO;3140;aspal;993
1+900;2+000;RR;3;SUMBEREJO;3140;aspal;994
2+000;2+100;RR;3;SUMBEREJO;3140;aspal;995
2+100;2+200;RR;3;SUMBEREJO;3140;aspal;996
2+200;2+300;RR;3;SUMBEREJO;3140;aspal;997
2+300;2+400;RR;3;SUMBEREJO;3140;aspal;998
2+400;2+500;RR;3;SUMBEREJO;3140;aspal;999
2+500;2+600;RR;3;SUMBEREJO;3140;aspal;1000
2+600;2+700;RR;3;SUMBEREJO;3140;aspal;1001
2+700;2+800;RR;3;SUMBEREJO;3140;aspal;1002
2+800;2+900;RR;3;SUMBEREJO;3140;aspal;1003
2+900;3+000;RR;3;SUMBEREJO;3140;aspal;1004
3+000;3+100;RR;3;SUMBEREJO;3140;aspal;1005
3+100;3+140;RR;3;SUMBEREJO;3140;aspal;1006
0+000;0+100;RB;2.7;SUMBERSAMBI;1015;makadam;684
0+100;0+200;RB;2.8;SUMBERSAMBI;1015;makadam;685
0+200;0+300;baik;3;SUMBERSAMBI;1015;beton;686
0+300;0+400;baik;3;SUMBERSAMBI;1015;beton;687
0+400;0+500;baik;3;SUMBERSAMBI;1015;beton;688
0+500;0+600;baik;2.8;SUMBERSAMBI;1015;beton;689
0+600;0+700;baik;2.8;SUMBERSAMBI;1015;beton;690
0+700;0+800;baik;2.8;SUMBERSAMBI;1015;beton;691
0+800;0+900;baik;2.8;SUMBERSAMBI;1015;beton;692
0+900;1+000;baik;2.8;SUMBERSAMBI;1015;beton;693
1+000;1+015;baik;2.8;SUMBERSAMBI;1015;beton;694
0+000;0+100;sedang;2.8;TEGUHAN;998;aspal;65
0+100;0+200;RR;2.8;TEGUHAN;998;aspal;66
0+200;0+300;baik;2.8;TEGUHAN;998;aspal;67
0+300;0+400;sedang;2.8;TEGUHAN;998;aspal;68
0+400;0+500;baik;2.8;TEGUHAN;998;aspal;69
0+500;0+600;baik;2.8;TEGUHAN;998;aspal;70
0+600;0+700;baik;2.8;TEGUHAN;998;aspal;71
0+700;0+800;baik;2.8;TEGUHAN;998;aspal;72
0+800;0+900;baik;2.8;TEGUHAN;998;aspal;73
0+900;0+989;baik;2.8;TEGUHAN;998;aspal;74
0+000;0+100;RR;3;TEMPURSARI;936;aspal;380
0+100;0+200;RR;3;TEMPURSARI;936;aspal;381
0+200;0+300;RR;3;TEMPURSARI;936;aspal;382
0+300;0+400;RR;3;TEMPURSARI;936;aspal;383
0+400;0+500;RR;3;TEMPURSARI;936;aspal;384
0+500;0+600;RR;3;TEMPURSARI;936;aspal;385
0+600;0+700;RR;3;TEMPURSARI;936;aspal;386
0+700;0+800;RR;3;TEMPURSARI;936;beton;387
0+800;0+900;RR;3;TEMPURSARI;936;beton;388
0+900;0+935;RR;3;TEMPURSARI;936;beton;389
0+000;0+100;RR;2.5;TILENG;1474;beton;336
0+100;0+200;RR;2.5;TILENG;1474;beton;337
0+200;0+300;RR;2.5;TILENG;1474;beton;338
0+300;0+400;RR;2.5;TILENG;1474;beton;339
0+400;0+500;RB;2.5;TILENG;1474;makadam;340
0+500;0+600;RB;2.5;TILENG;1474;makadam;341
0+600;0+700;RB;2.5;TILENG;1474;makadam;342
0+700;0+800;RB;2.5;TILENG;1474;tanah;343
0+800;0+900;RR;2.5;TILENG;1474;beton;344
0+900;1+000;RR;2.5;TILENG;1474;beton;345
1+000;1+100;RR;2.5;TILENG;1474;beton;346
1+100;1+200;RR;2.5;TILENG;1474;beton;347
1+200;1+300;RR;2.5;TILENG;1474;beton;348
1+300;1+400;RR;2.5;TILENG;1474;beton;349
1+400;1+474;RR;2.5;TILENG;1474;beton;350
0+000;0+100;baik;3;TULUNG;1220;beton;671
0+100;0+200;baik;3;TULUNG;1220;beton;672
0+200;0+300;baik;3;TULUNG;1220;beton;673
0+300;0+400;baik;3;TULUNG;1220;beton;674
0+400;0+500;baik;3;TULUNG;1220;beton;675
0+500;0+600;baik;3;TULUNG;1220;beton;676
0+600;0+700;baik;3;TULUNG;1220;beton;677
0+700;0+800;baik;3;TULUNG;1220;beton;678
0+800;0+900;baik;3;TULUNG;1220;beton;679
0+900;1+000;baik;3;TULUNG;1220;beton;680
1+000;1+100;baik;3;TULUNG;1220;beton;681
1+100;1+200;baik;3;TULUNG;1220;beton;682
1+200;1+220;baik;3;TULUNG;1220;beton;683
0+000;0+100;sedang;4;WARUREJO I;2158;beton;1064
0+100;0+200;sedang;4;WARUREJO I;2158;beton;1065
0+200;0+300;baik;4;WARUREJO I;2158;beton;1066
0+300;0+400;RB;4;WARUREJO I;2158;makadam;1067
0+400;0+500;RB;4;WARUREJO I;2158;beton;1068
0+500;0+600;baik;4;WARUREJO I;2158;beton;1069
0+600;0+700;baik;4;WARUREJO I;2158;beton;1070
0+700;0+800;baik;4;WARUREJO I;2158;beton;1071
0+800;0+900;RB;4;WARUREJO I;2158;makadam;1072
0+900;1+000;RB;4;WARUREJO I;2158;makadam;1073
1+000;1+100;RB;4;WARUREJO I;2158;makadam;1074
1+100;1+200;RB;3.5;WARUREJO I;2158;makadam;1075
1+200;1+300;RB;3.5;WARUREJO I;2158;makadam;1076
1+300;1+400;RB;3.5;WARUREJO I;2158;makadam;1077
1+400;1+500;RB;3.5;WARUREJO I;2158;makadam;1078
1+500;1+600;RB;3.5;WARUREJO I;2158;makadam;1079
