No,Nm_Ruas,Kd_Inf,Panjang,STA_AWAL,STA_AKHIR,Fungsi,Kondisi,Tipe_Perke,Lebar_STA,Tahun_Reali,tahun,Tgl,Penanganan,Kondisi_Kini,Perke_Kini
835,4232 - JL. TENGKU UMAR,,844,0+700,0+800,,RR,lapen,5,,2022,,,,
844,4233 - JL. SANDANG PANGAN,,243,0+100,0+200,,RR,tanah,5,,2022,,,,
847,4234 - JL. TOTO TENTREM,,509,0+400,0+500,,RR,tanah,5,,2022,,,,
853,4235 - JL. LOHJINAWI,,636,0+500,0+600,,RR,tanah,5,,2022,,,,
860,4236 - JL. SANGGRAHAN,,863,0+700,0+800,,RR,tanah,5,,2022,,,,
869,4237 - JL. LAPANGAN BERAN,,425,0+300,0+400,,RR,tanah,5,,2022,,,,
874,4238 - JL. TEGAL ASRI,,1211,1+100,1+200,,RR,beton,5,,2022,,,,
887,4239 - JL. MONTIKAN,,1105,1+000,1+100,,RR,beton,5,,2022,,,,
899,4240 - JL. DIPONEGORO,,774,0+600,0+700,,RR,beton,5,,2022,,,,
907,4241 - JL. RADEN PATAH,,315,0+200,0+300,,RR,beton,5,,2022,,,,
911,4242 - JL. K.H. MOJO I,,413,0+300,0+400,,RB,beton,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
916,4243 - JL. K.H. MOJO II,,271,0+100,0+200,,RB,aspal,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
919,4244 - JL. AGUS SALIM,,1497,1+300,1+400,,RB,aspal,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
934,4245 - JL. MELATI,,358,0+200,0+300,,RB,aspal,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
938,4246 - JL. MENUR,,613,0+500,0+600,,RB,aspal,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
945,4247 - JL. NOGO,,1241,1+100,1+200,,RB,aspal,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
958,4248 - JL. SAUR,,783,0+600,0+700,,RB,aspal,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
966,4301 - JL. SUMBERMORO,,500,0+300,0+400,,RB,aspal,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
971,4302 - JL. SUMBERSAKTI,,242,0+100,0+200,,RB,makadam,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
974,4303 - JL. KARYAWAN,,383,0+200,0+300,,RB,makadam,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
978,4304 - JL. SUMBER MAS,,323,0+200,0+300,,RB,makadam,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
982,4305 - JL. SENDANG BEJI,,327,0+200,0+300,,RB,makadam,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
986,4306 - JL. BRANJANGAN I/B,,258,0+100,0+200,,RB,makadam,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
989,4307 - JL. BRANJANGAN I,,327,0+200,0+300,,RB,makadam,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
993,4308 - JL. SETYA RUKUN,,500,0+300,0+400,,RB,makadam,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
998,4309 - JL. SERBA GUNA,,188,0+100,0+187,,RB,makadam,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
1000,4310 - JL. EKA BHAKTI,,736,0+600,0+700,,RB,makadam,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
1008,4311 - JL. SWAKARYA,,317,0+200,0+300,,RB,makadam,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
1012,4312 - JL. SWANARDIPA,,195,0+100,0+194,,RB,makadam,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
1014,4313 - JL. SWASEMBADA,,263,0+100,0+200,,RB,lapen,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
1017,4314 - JL. KANAL TIMUR,,1094,0+900,1+000,,RB,lapen,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
1028,4315 - JL. SETYA DARMA,,668,0+500,0+600,,RB,lapen,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
2,4001 - JL. PATIMURA,,951,0+000,0+100,,RB,lapen,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
3,4001 - JL. PATIMURA,,951,0+100,0+200,,baik,lapen,5,,2022,,,,
4,4001 - JL. PATIMURA,,951,0+200,0+300,,baik,lapen,5,,2022,,,,
5,4001 - JL. PATIMURA,,951,0+300,0+400,,baik,lapen,5,,2022,,,,
6,4001 - JL. PATIMURA,,951,0+400,0+500,,baik,tanah,5,,2022,,,,
7,4001 - JL. PATIMURA,,951,0+500,0+600,,baik,tanah,5,,2022,,,,
8,4001 - JL. PATIMURA,,951,0+600,0+700,,baik,tanah,5,,2022,,,,
9,4001 - JL. PATIMURA,,951,0+700,0+800,,baik,tanah,5,,2022,,,,
