Nm_Ruas,Kd_Inf,Panjang,STA_AWAL,STA_AKHIR,No,Tahun,Date,penanganan,Kondisi_Kini,Perke_Kini
Jl. Uteran-Batas Magetan,006,7.110,5+100,5+200,432,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,5+200,5+300,433,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,5+300,5+400,434,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,5+400,5+500,435,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,5+500,5+600,436,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,5+600,5+700,437,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,5+700,5+800,438,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,5+800,5+900,439,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,5+900,6+000,440,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,6+000,6+100,441,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,6+100,6+200,442,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,6+200,6+300,443,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,6+300,6+400,444,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,6+400,6+500,445,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,6+500,6+600,446,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,6+600,6+700,447,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,6+800,6+860,448,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Dolopo-Mojorejo,007,7.800,0+000,0+100,450,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Dolopo-Mojorejo,007,7.800,0+100,0+200,451,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Dolopo-Mojorejo,007,7.800,0+200,0+300,452,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Dolopo-Mojorejo,007,7.800,0+300,0+400,453,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Dolopo-Mojorejo,007,7.800,0+400,0+500,454,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Dolopo-Mojorejo,007,7.800,0+500,0+600,455,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Dolopo-Mojorejo,007,7.800,0+600,0+700,456,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Dolopo-Mojorejo,007,7.800,0+700,0+800,457,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Dolopo-Mojorejo,007,7.800,0+800,0+900,458,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Dolopo-Mojorejo,007,7.800,0+900,1+000,459,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Dolopo-Mojorejo,007,7.800,1+000,1+100,460,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Dolopo-Mojorejo,007,7.800,1+100,1+200,461,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Dolopo-Mojorejo,007,7.800,1+200,1+300,462,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Dolopo-Mojorejo,007,7.800,1+300,1+400,463,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
