id,no_jemb,nama,kec,panjang,lebar,jml_bintang,ba_tipe,lat,long,kondisi
251,19.097.003,Jembatan Cabean III,Sawahan,6.5,7.5,1,Plat dan Gelagar,7.55883,111.52918,1
252,19.097.004,Jembatan Cabean IV,Sawahan,3.9,5.55,1,Plat,7.55966,111.53356,2
253,19.098.001,Jembatan Pucangrejo IV,Sawahan,5.8,6,1,Gelagar,7.57605,111.52046,2
254,19.099.001,Jembatan Golan I,Sawahan,3.7,7.6,1,Plat,7.55853,111.50611,1
255,19.100.001,Jembatan Pule I,Sawahan,2.63,9,1,Plat,7.53946,111.51214,1
256,19.101.001,Jembatan Kajang III,Sawahan,8.2,6.2,1,Gelagar,7.54211,111.52422,3
257,19.102.001,Jembatan Rejosari IV,Sawahan,5.3,5.3,1,Gelagar Komposit,7.584,111.52366,2
258,19.102.002,Jembatan Rejosari V,Sawahan,2.6,7.9,1,Plat,7.58324,111.52023,2
259,19.103.001,Jembatan Bandungan I,Saradan,23.65,5.5,1,Gelagar,7.54787,111.83064,1
260,19.103.002,Jembatan Bandungan II,Saradan,10.8,3.8,2,Plat,7.54488,111.83295,1
261,19.103.003,Jembatan Bandungan III,Saradan,16,4.15,1,Gelagar,7.53921,111.83351,1
262,19.103.004,Jembatan Bandungan IV,Saradan,85.4,7.02,4,Gelagar,7.53728,111.83377,1
263,19.105.001,Jembatan Tulung I,Saradan,17,5.5,1,Gelagar,7.502499,111.702248,1
264,19.105.002,Jembatan Sumberbendo I,Saradan,5.4,3.5,1,Gelagar,7.473535,111.7581,1
265,19.105.003,Jembatan Sumberbendo II,Saradan,10.5,4.7,1,Gelagar Komposit,7.473401,111.762313,2
266,19.105.004,Jembatan Sumberbendo III,Saradan,16.5,4.8,1,Gelagar,7.473835,111.767317,1
267,19.106.001,Jembatan Klumutan II,Saradan,20.2,3.52,2,Gelagar Komposit,7.52669,111.71006,2
268,19.107.001,Jembatan Sambirejo IV,Saradan,18.25,3.1,3,Gelagar Komposit,7.5204,111.7067,2
269,19.108.001,Jembatan Sukorejo VI,Saradan,16,4.23,1,Pelengkung,7.53933,111.68277,2
