STA_AWAL,STA_AKHIR,Fungsi,Nm_Ruas,Panjang,No
1+400,1+418,Lingkungan Primer,BENER,1418,570
0+000,0+100,Lingkungan Primer,BETEK,1770,1362
0+100,0+200,Lingkungan Primer,BETEK,1770,1363
0+200,0+300,Lingkungan Primer,BETEK,1770,1364
0+300,0+400,Lingkungan Primer,BETEK,1770,1365
0+400,0+500,Lingkungan Primer,BETEK,1770,1366
0+500,0+600,Lingkungan Primer,BETEK,1770,1367
0+600,0+700,Lingkungan Primer,BETEK,1770,1368
0+700,0+800,Lingkungan Primer,BETEK,1770,1369
0+800,0+900,Lingkungan Primer,BETEK,1770,1370
0+900,1+000,Lingkungan Primer,BETEK,1770,1371
1+000,1+100,Lingkungan Primer,BETEK,1770,1372
1+100,1+200,Lingkungan Primer,BETEK,1770,1373
1+200,1+300,Lingkungan Primer,BETEK,1770,1374
1+300,1+400,Lingkungan Primer,BETEK,1770,1375
1+400,1+500,Lingkungan Primer,BETEK,1770,1376
1+500,1+600,Lingkungan Primer,BETEK,1770,1377
1+600,1+700,Lingkungan Primer,BETEK,1770,1378
1+700,1+772,Lingkungan Primer,BETEK,1770,1379
0+000,0+100,Lingkungan Primer,BLIMBING,430,208
0+100,0+200,Lingkungan Primer,BLIMBING,430,209
0+200,0+300,Lingkungan Primer,BLIMBING,430,210
0+300,0+400,Lingkungan Primer,BLIMBING,430,211
0+400,0+500,Lingkungan Primer,BLIMBING,430,212
0+500,0+515,Lingkungan Primer,BLIMBING,430,213
0+000,0+100,Lingkungan Primer,BONGSOPOTRO,2089,571
0+100,0+200,Lingkungan Primer,BONGSOPOTRO,2089,572
0+200,0+300,Lingkungan Primer,BONGSOPOTRO,2089,573
0+300,0+400,Lingkungan Primer,BONGSOPOTRO,2089,574
0+400,0+500,Lingkungan Primer,BONGSOPOTRO,2089,575
0+500,0+600,Lingkungan Primer,BONGSOPOTRO,2089,576
0+600,0+700,Lingkungan Primer,BONGSOPOTRO,2089,577
0+700,0+800,Lingkungan Primer,BONGSOPOTRO,2089,578
0+800,0+900,Lingkungan Primer,BONGSOPOTRO,2089,579
0+900,1+000,Lingkungan Primer,BONGSOPOTRO,2089,580
1+000,1+100,Lingkungan Primer,BONGSOPOTRO,2089,581
1+100,1+200,Lingkungan Primer,BONGSOPOTRO,2089,582
1+200,1+300,Lingkungan Primer,BONGSOPOTRO,2089,583
1+300,1+400,Lingkungan Primer,BONGSOPOTRO,2089,584
1+400,1+500,Lingkungan Primer,BONGSOPOTRO,2089,585
1+500,1+600,Lingkungan Primer,BONGSOPOTRO,2089,586
1+600,1+700,Lingkungan Primer,BONGSOPOTRO,2089,587
1+700,1+800,Lingkungan Primer,BONGSOPOTRO,2089,588
1+800,1+900,Lingkungan Primer,BONGSOPOTRO,2089,589
1+900,2+000,Lingkungan Primer,BONGSOPOTRO,2089,590
2+000,2+088,Lingkungan Primer,BONGSOPOTRO,2089,591
0+000,0+100,Lingkungan Primer,BULAKREJO,469,1119
0+100,0+200,Lingkungan Primer,BULAKREJO,469,1120
0+200,0+300,Lingkungan Primer,BULAKREJO,469,1121
0+300,0+400,Lingkungan Primer,BULAKREJO,469,1122
0+400,0+469,Lingkungan Primer,BULAKREJO,469,1123
0+000,0+100,Lingkungan Primer,CANDIMULYO,799,143
0+100,0+200,Lingkungan Primer,CANDIMULYO,799,144
0+200,0+300,Lingkungan Primer,CANDIMULYO,799,145
0+300,0+400,Lingkungan Primer,CANDIMULYO,799,146
0+400,0+500,Lingkungan Primer,CANDIMULYO,799,147
0+500,0+600,Lingkungan Primer,CANDIMULYO,799,148
0+600,0+700,Lingkungan Primer,CANDIMULYO,799,149
0+700,0+800,Lingkungan Primer,CANDIMULYO,799,150
0+800,0+805,Lingkungan Primer,CANDIMULYO,799,151
0+300,0+400,Lingkungan Primer,DARMOREJO,496,838
0+000,0+100,Lingkungan Primer,DARMOREJO,496,839
0+100,0+200,Lingkungan Primer,DARMOREJO,496,840
0+200,0+300,Lingkungan Primer,DARMOREJO,496,841
0+400,0+495,Lingkungan Primer,DARMOREJO,496,842
0+000,0+100,Lingkungan Primer,DAWUHAN,1950,820
0+100,0+200,Lingkungan Primer,DAWUHAN,1950,821
0+200,0+300,Lingkungan Primer,DAWUHAN,1950,822
0+300,0+400,Lingkungan Primer,DAWUHAN,1950,823
0+400,0+500,Lingkungan Primer,DAWUHAN,1950,824
0+500,0+600,Lingkungan Primer,DAWUHAN,1950,825
0+600,0+700,Lingkungan Primer,DAWUHAN,1950,826
0+700,0+800,Lingkungan Primer,DAWUHAN,1950,827
0+800,0+900,Lingkungan Primer,DAWUHAN,1950,828
