Nm_Ruas,Kd_Inf,Panjang,STA_AWAL,STA_AKHIR,No,Fungsi
Jl. Caruban-Morang,003,14.510,3+700,3+800,175,Lokal Primer
Jl. Caruban-Morang,003,14.510,3+800,3+900,176,Lokal Primer
Jl. Caruban-Morang,003,14.510,3+900,4+000,177,Lokal Primer
Jl. Caruban-Morang,003,14.510,4+000,4+100,178,Lokal Primer
Jl. Caruban-Morang,003,14.510,4+100,4+200,179,Lokal Primer
Jl. Caruban-Morang,003,14.510,4+200,4+300,180,Lokal Primer
Jl. Caruban-Morang,003,14.510,4+300,4+400,181,Lokal Primer
Jl. Caruban-Morang,003,14.510,4+400,4+500,182,Lokal Primer
Jl. Caruban-Morang,003,14.510,4+500,4+600,183,Lokal Primer
Jl. Caruban-Morang,003,14.510,4+600,4+700,184,Lokal Primer
Jl. Caruban-Morang,003,14.510,4+700,4+800,185,Lokal Primer
Jl. Caruban-Morang,003,14.510,4+800,4+900,186,Lokal Primer
Jl. Caruban-Morang,003,14.510,4+900,5+000,187,Lokal Primer
Jl. Caruban-Morang,003,14.510,5+000,5+100,188,Lokal Primer
Jl. Caruban-Morang,003,14.510,5+100,5+200,189,Lokal Primer
Jl. Caruban-Morang,003,14.510,5+200,5+300,190,Lokal Primer
Jl. Caruban-Morang,003,14.510,5+300,5+400,191,Lokal Primer
Jl. Caruban-Morang,003,14.510,5+400,5+500,192,Lokal Primer
Jl. Caruban-Morang,003,14.510,5+500,5+600,193,Lokal Primer
Jl. Caruban-Morang,003,14.510,5+600,5+700,194,Lokal Primer
Jl. Caruban-Morang,003,14.510,5+700,5+800,195,Lokal Primer
Jl. Caruban-Morang,003,14.510,5+800,5+900,196,Lokal Primer
Jl. Caruban-Morang,003,14.510,5+900,6+000,197,Lokal Primer
Jl. Caruban-Morang,003,14.510,6+000,6+100,198,Lokal Primer
Jl. Caruban-Morang,003,14.510,6+100,6+200,199,Lokal Primer
Jl. Caruban-Morang,003,14.510,6+200,6+300,200,Lokal Primer
Jl. Caruban-Morang,003,14.510,6+300,6+400,201,Lokal Primer
Jl. Caruban-Morang,003,14.510,6+400,6+500,202,Lokal Primer
Jl. Caruban-Morang,003,14.510,6+500,6+600,203,Lokal Primer
Jl. Caruban-Morang,003,14.510,6+600,6+700,204,Lokal Primer
Jl. Caruban-Morang,003,14.510,6+700,6+800,205,Lokal Primer
Jl. Caruban-Morang,003,14.510,6+800,6+900,206,Lokal Primer
Jl. Caruban-Morang,003,14.510,6+900,7+000,207,Lokal Primer
Jl. Caruban-Morang,003,14.510,7+000,7+100,208,Lokal Primer
Jl. Caruban-Morang,003,14.510,7+100,7+200,209,Lokal Primer
Jl. Caruban-Morang,003,14.510,7+200,7+300,210,Lokal Primer
Jl. Caruban-Morang,003,14.510,7+300,7+400,211,Lokal Primer
Jl. Caruban-Morang,003,14.510,7+400,7+500,212,Lokal Primer
Jl. Caruban-Morang,003,14.510,7+500,7+600,213,Lokal Primer
Jl. Caruban-Morang,003,14.510,7+600,7+700,214,Lokal Primer
Jl. Caruban-Morang,003,14.510,7+700,7+800,215,Lokal Primer
Jl. Caruban-Morang,003,14.510,7+800,7+900,216,Lokal Primer
Jl. Caruban-Morang,003,14.510,7+900,8+000,217,Lokal Primer
Jl. Caruban-Morang,003,14.510,8+000,8+100,218,Lokal Primer
Jl. Caruban-Morang,003,14.510,8+100,8+200,219,Lokal Primer
Jl. Caruban-Morang,003,14.510,8+200,8+300,220,Lokal Primer
Jl. Caruban-Morang,003,14.510,8+300,8+400,221,Lokal Primer
Jl. Caruban-Morang,003,14.510,8+400,8+500,222,Lokal Primer
Jl. Caruban-Morang,003,14.510,8+500,8+600,223,Lokal Primer
Jl. Caruban-Morang,003,14.510,8+600,8+700,224,Lokal Primer
Jl. Caruban-Morang,003,14.510,8+700,8+800,225,Lokal Primer
Jl. Caruban-Morang,003,14.510,8+800,8+900,226,Lokal Primer
Jl. Caruban-Morang,003,14.510,8+900,9+000,227,Lokal Primer
Jl. Caruban-Morang,003,14.510,9+000,9+100,228,Lokal Primer
Jl. Caruban-Morang,003,14.510,9+100,9+200,229,Lokal Primer
Jl. Caruban-Morang,003,14.510,9+200,9+300,230,Lokal Primer
Jl. Caruban-Morang,003,14.510,9+300,9+400,231,Lokal Primer
Jl. Caruban-Morang,003,14.510,9+400,9+500,232,Lokal Primer
Jl. Caruban-Morang,003,14.510,9+500,9+600,233,Lokal Primer
Jl. Caruban-Morang,003,14.510,9+600,9+700,234,Lokal Primer
Jl. Caruban-Morang,003,14.510,9+700,9+800,235,Lokal Primer
Jl. Caruban-Morang,003,14.510,9+800,9+900,236,Lokal Primer
Jl. Caruban-Morang,003,14.510,9+900,10+000,237,Lokal Primer
Jl. Caruban-Morang,003,14.510,10+000,10+100,238,Lokal Primer
Jl. Caruban-Morang,003,14.510,10+100,10+200,239,Lokal Primer
Jl. Caruban-Morang,003,14.510,10+200,10+300,240,Lokal Primer
Jl. Caruban-Morang,003,14.510,10+300,10+400,241,Lokal Primer
Jl. Caruban-Morang,003,14.510,10+400,10+500,242,Lokal Primer
Jl. Caruban-Morang,003,14.510,10+500,10+600,243,Lokal Primer
Jl. Caruban-Morang,003,14.510,10+600,10+700,244,Lokal Primer
Jl. Caruban-Morang,003,14.510,10+700,10+800,245,Lokal Primer
Jl. Caruban-Morang,003,14.510,10+800,10+900,246,Lokal Primer
Jl. Caruban-Morang,003,14.510,10+900,11+000,247,Lokal Primer
Jl. Caruban-Morang,003,14.510,11+000,11+100,248,Lokal Primer
Jl. Caruban-Morang,003,14.510,11+100,11+200,249,Lokal Primer
Jl. Caruban-Morang,003,14.510,11+200,11+300,250,Lokal Primer
Jl. Caruban-Morang,003,14.510,11+300,11+400,251,Lokal Primer
Jl. Caruban-Morang,003,14.510,11+400,11+500,252,Lokal Primer
Jl. Caruban-Morang,003,14.510,11+500,11+600,253,Lokal Primer
Jl. Caruban-Morang,003,14.510,11+600,11+700,254,Lokal Primer
Jl. Caruban-Morang,003,14.510,11+700,11+800,255,Lokal Primer
Jl. Caruban-Morang,003,14.510,11+800,11+900,256,Lokal Primer
Jl. Caruban-Morang,003,14.510,11+900,12+000,257,Lokal Primer
Jl. Caruban-Morang,003,14.510,12+000,12+100,258,Lokal Primer
Jl. Caruban-Morang,003,14.510,12+100,12+200,259,Lokal Primer
Jl. Caruban-Morang,003,14.510,12+200,12+300,260,Lokal Primer
Jl. Caruban-Morang,003,14.510,12+300,12+400,261,Lokal Primer
Jl. Caruban-Morang,003,14.510,12+400,12+500,262,Lokal Primer
Jl. Caruban-Morang,003,14.510,12+500,12+600,263,Lokal Primer
Jl. Caruban-Morang,003,14.510,12+600,12+700,264,Lokal Primer
Jl. Caruban-Morang,003,14.510,12+700,12+800,265,Lokal Primer
Jl. Caruban-Morang,003,14.510,12+800,12+900,266,Lokal Primer
Jl. Caruban-Morang,003,14.510,12+900,13+000,267,Lokal Primer
Jl. Caruban-Morang,003,14.510,13+000,13+100,268,Lokal Primer
Jl. Caruban-Morang,003,14.510,13+100,13+200,269,Lokal Primer
Jl. Caruban-Morang,003,14.510,13+200,13+300,270,Lokal Primer
Jl. Caruban-Morang,003,14.510,13+300,13+400,271,Lokal Primer
Jl. Caruban-Morang,003,14.510,13+400,13+500,272,Lokal Primer
Jl. Caruban-Morang,003,14.510,13+500,13+600,273,Lokal Primer
Jl. Caruban-Morang,003,14.510,13+600,13+700,274,Lokal Primer
Jl. Caruban-Morang,003,14.510,13+700,13+800,275,Lokal Primer
Jl. Caruban-Morang,003,14.510,13+800,13+900,276,Lokal Primer
Jl. Caruban-Morang,003,14.510,13+900,14+000,277,Lokal Primer
Jl. Caruban-Morang,003,14.510,14+000,14+100,278,Lokal Primer
Jl. Caruban-Morang,003,14.510,14+100,14+200,279,Lokal Primer
Jl. Caruban-Morang,003,14.510,14+200,14+300,280,Lokal Primer
Jl. Caruban-Morang,003,14.510,14+400,14+498,281,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,0+000,0+100,283,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,0+100,0+200,284,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,0+200,0+300,285,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,0+300,0+400,286,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,0+400,0+500,287,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,0+500,0+600,288,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,0+600,0+700,289,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,0+700,0+800,290,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,0+800,0+900,291,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,0+900,1+000,292,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,1+000,1+100,293,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,1+100,1+200,294,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,1+200,1+300,295,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,1+300,1+400,296,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,1+400,1+500,297,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,1+500,1+600,298,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,1+600,1+700,299,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,1+700,1+800,300,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,1+800,1+900,301,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,1+900,2+000,302,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,2+000,2+100,303,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,2+100,2+200,304,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,2+200,2+300,305,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,2+300,2+400,306,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,2+400,2+500,307,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,2+500,2+600,308,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,2+600,2+700,309,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,2+700,2+800,310,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,2+800,2+900,311,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,2+900,3+000,312,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,3+000,3+100,313,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,3+100,3+200,314,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,3+200,3+300,315,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,3+300,3+400,316,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,3+400,3+500,317,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,3+500,3+600,318,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,3+600,3+700,319,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,3+700,3+800,320,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,3+800,3+900,321,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,3+900,4+000,322,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,4+000,4+100,323,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,4+100,4+200,324,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,4+200,4+300,325,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,4+300,4+400,326,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,4+400,4+500,327,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,4+500,4+600,328,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,4+600,4+700,329,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,4+700,4+800,330,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,4+800,4+900,331,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,4+900,5+000,332,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,5+000,5+100,333,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,5+100,5+200,334,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,5+200,5+300,335,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,5+300,5+400,336,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,5+400,5+500,337,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,5+500,5+600,338,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,5+600,5+700,339,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,5+700,5+800,340,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,5+800,5+900,341,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,5+900,6+000,342,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,6+000,6+100,343,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,6+100,6+200,344,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,6+200,6+300,345,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,6+300,6+400,346,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,6+400,6+500,347,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,6+500,6+600,348,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,6+600,6+700,349,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,6+700,6+800,350,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,6+800,6+900,351,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,6+900,7+000,352,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,7+000,7+100,353,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,7+100,7+200,354,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,7+200,7+300,355,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,7+300,7+400,356,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,7+400,7+500,357,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,7+500,7+600,358,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,7+600,7+700,359,Lokal Primer
Jl. Balerejo-Muneng,004,7.800,"7+800
",7+836,360,Lokal Primer
Jl. Pagotan-Dagangan,005,1.840,0+000,0+100,362,Lokal Primer
Jl. Pagotan-Dagangan,005,1.840,0+100,0+200,363,Lokal Primer
Jl. Pagotan-Dagangan,005,1.840,0+200,0+300,364,Lokal Primer
Jl. Pagotan-Dagangan,005,1.840,0+300,0+400,365,Lokal Primer
Jl. Pagotan-Dagangan,005,1.840,0+400,0+500,366,Lokal Primer
Jl. Pagotan-Dagangan,005,1.840,0+500,0+600,367,Lokal Primer
Jl. Pagotan-Dagangan,005,1.840,0+600,0+700,368,Lokal Primer
Jl. Pagotan-Dagangan,005,1.840,0+700,0+800,369,Lokal Primer
Jl. Pagotan-Dagangan,005,1.840,0+800,0+900,370,Lokal Primer
Jl. Pagotan-Dagangan,005,1.840,0+900,1+000,371,Lokal Primer
Jl. Pagotan-Dagangan,005,1.840,1+000,1+100,372,Lokal Primer
Jl. Pagotan-Dagangan,005,1.840,1+100,1+200,373,Lokal Primer
Jl. Pagotan-Dagangan,005,1.840,1+200,1+300,374,Lokal Primer
Jl. Pagotan-Dagangan,005,1.840,1+300,1+400,375,Lokal Primer
Jl. Pagotan-Dagangan,005,1.840,1+400,1+500,376,Lokal Primer
Jl. Pagotan-Dagangan,005,1.840,1+500,1+600,377,Lokal Primer
Jl. Pagotan-Dagangan,005,1.840,1+600,1+700,378,Lokal Primer
Jl. Pagotan-Dagangan,005,1.840,1+800,1+847,379,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,0+000,0+100,381,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,0+100,0+200,382,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,0+200,0+300,383,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,0+300,0+400,384,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,0+400,0+500,385,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,0+500,0+600,386,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,0+600,0+700,387,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,0+700,0+800,388,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,0+800,0+900,389,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,0+900,1+000,390,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,1+000,1+100,391,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,1+100,1+200,392,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,1+200,1+300,393,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,1+300,1+400,394,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,1+400,1+500,395,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,1+500,1+600,396,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,1+600,1+700,397,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,1+700,1+800,398,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,1+800,1+900,399,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,1+900,2+000,400,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,2+000,2+100,401,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,2+100,2+200,402,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,2+200,2+300,403,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,2+300,2+400,404,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,2+400,2+500,405,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,2+500,2+600,406,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,2+600,2+700,407,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,2+700,2+800,408,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,2+800,2+900,409,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,2+900,3+000,410,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,3+000,3+100,411,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,3+100,3+200,412,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,3+200,3+300,413,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,3+300,3+400,414,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,3+400,3+500,415,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,3+500,3+600,416,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,3+600,3+700,417,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,3+700,3+800,418,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,3+800,3+900,419,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,3+900,4+000,420,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,4+000,4+100,421,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,4+100,4+200,422,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,4+200,4+300,423,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,4+300,4+400,424,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,4+400,4+500,425,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,4+500,4+600,426,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,4+600,4+700,427,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,4+700,4+800,428,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,4+800,4+900,429,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,4+900,5+000,430,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,5+000,5+100,431,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,5+100,5+200,432,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,5+200,5+300,433,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,5+300,5+400,434,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,5+400,5+500,435,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,5+500,5+600,436,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,5+600,5+700,437,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,5+700,5+800,438,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,5+800,5+900,439,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,5+900,6+000,440,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,6+000,6+100,441,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,6+100,6+200,442,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,6+200,6+300,443,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,6+300,6+400,444,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,6+400,6+500,445,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,6+500,6+600,446,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,6+600,6+700,447,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,6+800,"6+860
",448,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,0+000,0+100,450,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,0+100,0+200,451,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,0+200,0+300,452,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,0+300,0+400,453,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,0+400,0+500,454,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,0+500,0+600,455,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,0+600,0+700,456,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,0+700,0+800,457,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,0+800,0+900,458,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,0+900,1+000,459,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,1+000,1+100,460,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,1+100,1+200,461,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,1+200,1+300,462,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,1+300,1+400,463,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,1+400,1+500,464,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,1+500,1+600,465,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,1+600,1+700,466,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,1+700,1+800,467,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,1+800,1+900,468,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,1+900,2+000,469,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,2+000,2+100,470,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,2+100,2+200,471,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,2+200,2+300,472,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,2+300,2+400,473,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,2+400,2+500,474,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,2+500,2+600,475,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,2+600,2+700,476,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,2+700,2+800,477,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,2+800,2+900,478,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,2+900,3+000,479,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,3+000,3+100,480,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,3+100,3+200,481,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,3+200,3+300,482,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,3+300,3+400,483,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,3+400,3+500,484,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,3+500,3+600,485,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,3+600,3+700,486,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,3+700,3+800,487,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,3+800,3+900,488,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,3+900,4+000,489,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,4+000,4+100,490,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,4+100,4+200,491,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,4+200,4+300,492,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,4+300,4+400,493,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,4+400,4+500,494,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,4+500,4+600,495,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,4+600,4+700,496,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,4+700,4+800,497,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,4+800,4+900,498,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,4+900,5+000,499,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,5+000,5+100,500,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,5+100,5+200,501,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,5+200,5+300,502,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,5+300,5+400,503,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,5+400,5+500,504,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,5+500,5+600,505,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,5+600,5+700,506,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,5+700,5+800,507,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,5+800,5+900,508,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,5+900,6+000,509,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,6+000,6+100,510,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,6+100,6+200,511,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,6+200,6+300,512,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,6+300,6+400,513,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,6+400,6+500,514,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,6+500,6+600,515,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,6+600,6+700,516,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,6+700,6+800,517,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,6+800,6+900,518,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,6+900,7+000,519,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,7+000,7+100,520,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,7+100,7+200,521,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,7+200,7+300,522,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,7+300,7+400,523,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,7+400,7+500,524,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,7+500,7+600,525,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,7+600,7+700,526,Lokal Primer
Jl. Dolopo-Mojorejo,007,7.800,7+800,"7+810
",527,Lokal Primer
Jl. Saradan-Mundu,008,12.110,0+000,0+100,529,Lokal Primer
Jl. Saradan-Mundu,008,12.110,0+100,0+200,530,Lokal Primer
Jl. Saradan-Mundu,008,12.110,0+200,0+300,531,Lokal Primer
Jl. Saradan-Mundu,008,12.110,0+300,0+400,532,Lokal Primer
Jl. Saradan-Mundu,008,12.110,0+400,0+500,533,Lokal Primer
Jl. Saradan-Mundu,008,12.110,0+500,0+600,534,Lokal Primer
