Nm_Ruas,Kd_Inf,Panjang,STA_AWAL,STA_AKHIR,No,Fungsi
Jl. Klitik-Dimong,001,8.100,5+800,5+900,60,Lokal Primer
Jl. Klitik-Dimong,001,8.100,5+900,6+000,61,Lokal Primer
Jl. Klitik-Dimong,001,8.100,6+000,6+100,62,Lokal Primer
Jl. Klitik-Dimong,001,8.100,6+100,6+200,63,Lokal Primer
Jl. Klitik-Dimong,001,8.100,6+200,6+300,64,Lokal Primer
Jl. Klitik-Dimong,001,8.100,6+300,6+400,65,Lokal Primer
Jl. Klitik-Dimong,001,8.100,6+400,6+500,66,Lokal Primer
Jl. Klitik-Dimong,001,8.100,6+500,6+600,67,Lokal Primer
Jl. Klitik-Dimong,001,8.100,6+600,6+700,68,Lokal Primer
Jl. Klitik-Dimong,001,8.100,6+700,6+800,69,Lokal Primer
Jl. Klitik-Dimong,001,8.100,6+800,6+900,70,Lokal Primer
Jl. Klitik-Dimong,001,8.100,6+900,7+000,71,Lokal Primer
Jl. Klitik-Dimong,001,8.100,7+000,7+100,72,Lokal Primer
Jl. Klitik-Dimong,001,8.100,7+100,7+200,73,Lokal Primer
Jl. Klitik-Dimong,001,8.100,7+200,7+300,74,Lokal Primer
Jl. Klitik-Dimong,001,8.100,7+300,7+400,75,Lokal Primer
Jl. Klitik-Dimong,001,8.100,7+400,7+500,76,Lokal Primer
Jl. Klitik-Dimong,001,8.100,7+500,7+600,77,Lokal Primer
Jl. Klitik-Dimong,001,8.100,7+600,7+700,78,Lokal Primer
Jl. Klitik-Dimong,001,8.100,7+700,7+800,79,Lokal Primer
Jl. Klitik-Dimong,001,8.100,7+800,7+900,80,Lokal Primer
Jl. Klitik-Dimong,001,8.100,7+900,8+000,81,Lokal Primer
Jl. Klitik-Dimong,001,8.100,8+100,8+127,82,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,0+000,0+100,84,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,0+100,0+200,85,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,0+200,0+300,86,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,0+300,0+400,87,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,0+400,0+500,88,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,0+500,0+600,89,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,0+600,0+700,90,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,0+700,0+800,91,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,0+800,0+900,92,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,0+900,1+000,93,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,1+000,1+100,94,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,1+100,1+200,95,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,1+200,1+300,96,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,1+300,1+400,97,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,1+400,1+500,98,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,1+500,1+600,99,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,1+600,1+700,100,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,1+700,1+800,101,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,1+800,1+900,102,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,1+900,2+000,103,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,2+000,2+100,104,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,2+100,2+200,105,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,2+200,2+300,106,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,2+300,2+400,107,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,2+400,2+500,108,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,2+500,2+600,109,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,2+600,2+700,110,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,2+700,2+800,111,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,2+800,2+900,112,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,2+900,3+000,113,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,3+000,3+100,114,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,3+100,3+200,115,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,3+200,3+300,116,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,3+300,3+400,117,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,3+400,3+500,118,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,3+500,3+600,119,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,3+600,3+700,120,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,3+700,3+800,121,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,3+800,3+900,122,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,3+900,4+000,123,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,4+000,4+100,124,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,4+100,4+200,125,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,4+200,4+300,126,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,4+300,4+400,127,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,4+400,4+500,128,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,4+500,4+600,129,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,4+600,4+700,130,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,4+700,4+800,131,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,4+800,4+900,132,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,4+900,5+000,133,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,5+000,5+100,134,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,5+100,5+200,135,Lokal Primer
Jl. Bajulan-Kenongorejo,002,5.350,5+300,5+346,136,Lokal Primer
Jl. Caruban-Morang,003,14.510,0+000,0+100,138,Lokal Primer
Jl. Caruban-Morang,003,14.510,0+100,0+200,139,Lokal Primer
Jl. Caruban-Morang,003,14.510,0+200,0+300,140,Lokal Primer
Jl. Caruban-Morang,003,14.510,0+300,0+400,141,Lokal Primer
Jl. Caruban-Morang,003,14.510,0+400,0+500,142,Lokal Primer
Jl. Caruban-Morang,003,14.510,0+500,0+600,143,Lokal Primer
Jl. Caruban-Morang,003,14.510,0+600,0+700,144,Lokal Primer
Jl. Caruban-Morang,003,14.510,0+700,0+800,145,Lokal Primer
Jl. Caruban-Morang,003,14.510,0+800,0+900,146,Lokal Primer
Jl. Caruban-Morang,003,14.510,0+900,1+000,147,Lokal Primer
Jl. Caruban-Morang,003,14.510,1+000,1+100,148,Lokal Primer
Jl. Caruban-Morang,003,14.510,1+100,1+200,149,Lokal Primer
Jl. Caruban-Morang,003,14.510,1+200,1+300,150,Lokal Primer
Jl. Caruban-Morang,003,14.510,1+300,1+400,151,Lokal Primer
Jl. Caruban-Morang,003,14.510,1+400,1+500,152,Lokal Primer
Jl. Caruban-Morang,003,14.510,1+500,1+600,153,Lokal Primer
Jl. Caruban-Morang,003,14.510,1+600,1+700,154,Lokal Primer
Jl. Caruban-Morang,003,14.510,1+700,1+800,155,Lokal Primer
Jl. Caruban-Morang,003,14.510,1+800,1+900,156,Lokal Primer
Jl. Caruban-Morang,003,14.510,1+900,2+000,157,Lokal Primer
Jl. Caruban-Morang,003,14.510,2+000,2+100,158,Lokal Primer
Jl. Caruban-Morang,003,14.510,2+100,2+200,159,Lokal Primer
Jl. Caruban-Morang,003,14.510,2+200,2+300,160,Lokal Primer
Jl. Caruban-Morang,003,14.510,2+300,2+400,161,Lokal Primer
Jl. Caruban-Morang,003,14.510,2+400,2+500,162,Lokal Primer
Jl. Caruban-Morang,003,14.510,2+500,2+600,163,Lokal Primer
Jl. Caruban-Morang,003,14.510,2+600,2+700,164,Lokal Primer
Jl. Caruban-Morang,003,14.510,2+700,2+800,165,Lokal Primer
Jl. Caruban-Morang,003,14.510,2+800,2+900,166,Lokal Primer
Jl. Caruban-Morang,003,14.510,2+900,3+000,167,Lokal Primer
Jl. Caruban-Morang,003,14.510,3+000,3+100,168,Lokal Primer
Jl. Caruban-Morang,003,14.510,3+100,3+200,169,Lokal Primer
Jl. Caruban-Morang,003,14.510,3+200,3+300,170,Lokal Primer
Jl. Caruban-Morang,003,14.510,3+300,3+400,171,Lokal Primer
Jl. Caruban-Morang,003,14.510,3+400,3+500,172,Lokal Primer
Jl. Caruban-Morang,003,14.510,3+500,3+600,173,Lokal Primer
Jl. Caruban-Morang,003,14.510,3+600,3+700,174,Lokal Primer
